Week ending,Group,DHB of service,Dose number,# doses administered,Notes: 
2021-02-21,Group 1,Auckland Metro,1,115,"DHB of service refers to the DHB where the vaccination was administered, not the DHB where the individual resides."
2021-02-21,Group 2,Auckland Metro,1,47,"Where a number is less than 5, the record is suppressed to protect individual privacy, as a result, totals of individual records may not sum to gross figures."
2021-02-28,Group 1,Auckland Metro,1,2993,
2021-02-28,Group 1,Canterbury,1,544,
2021-02-28,Group 1,Capital & Coast and Hutt Valley,1,140,Groups:
2021-02-28,Group 1,Lakes,1,62,Group 1: Border Workers and their Household Contacts
2021-02-28,Group 1,Northland,1,18,
2021-02-28,Group 1,Tairawhiti,1,43,Group 2: Frontline health workers. Emergency Response Services.
2021-02-28,Group 1,Waikato,1,194,"     Residential Facility Worker or Resident, Unknown, Other, Early Vaccine Access. "
2021-02-28,Group 2,Auckland Metro,1,2359,     Individuals vaccinated at NZDF sites who identify as Border Workers or Household contacts. 
2021-02-28,Group 2,Canterbury,1,57,     Individuals over 65 and with underlying health conditions in Counties Manukau.
2021-02-28,Group 2,Capital & Coast and Hutt Valley,1,40,
2021-02-28,Group 2,Hawke's Bay,1,26,Group 3: People at greatest risk of serious illness which includes over 65s and those with underlying health conditions. Health and social services.
2021-02-28,Group 2,Lakes,1,10,
2021-02-28,Group 2,Tairawhiti,1,36,Group 4: General population.
2021-02-28,Group 2,Waikato,1,26,
2021-03-07,Group 1,Auckland Metro,1,2867,
2021-03-07,Group 1,Bay of Plenty,1,191,
2021-03-07,Group 1,Canterbury,1,946,
2021-03-07,Group 1,Capital & Coast and Hutt Valley,1,162,Groups 1 and 2 are based primarily on employment role.  
2021-03-07,Group 1,Hawke's Bay,1,189,
2021-03-07,Group 1,Lakes,1,193,
2021-03-07,Group 1,Nelson Marlborough,1,337,Group 3 eligibility can be met through age or through a number of eligible health conditions and disabilities.
2021-03-07,Group 1,Northland,1,158,
2021-03-07,Group 1,South Canterbury,1,117,
2021-03-07,Group 1,Southern,1,394,
2021-03-07,Group 1,Tairawhiti,1,39,
2021-03-07,Group 1,Taranaki,1,83,
2021-03-07,Group 1,Waikato,1,267,
2021-03-07,Group 2,Auckland Metro,1,1463,
2021-03-07,Group 2,Bay of Plenty,1,17,
2021-03-07,Group 2,Canterbury,1,111,
2021-03-07,Group 2,Capital & Coast and Hutt Valley,1,19,
2021-03-07,Group 2,Hawke's Bay,1,22,
2021-03-07,Group 2,Lakes,1,54,
2021-03-07,Group 2,Nelson Marlborough,1,69,
2021-03-07,Group 2,South Canterbury,1,121,
2021-03-07,Group 2,Southern,1,57,
2021-03-07,Group 2,Tairawhiti,1,161,
2021-03-07,Group 2,Taranaki,1,67,
2021-03-07,Group 2,Waikato,1,797,
2021-03-14,Group 1,Auckland Metro,1,2507,
2021-03-14,Group 1,Auckland Metro,2,8,
2021-03-14,Group 1,Bay of Plenty,1,220,
2021-03-14,Group 1,Canterbury,1,784,
2021-03-14,Group 1,Capital & Coast and Hutt Valley,1,84,
2021-03-14,Group 1,Hawke's Bay,1,115,
2021-03-14,Group 1,Lakes,1,136,
2021-03-14,Group 1,Nelson Marlborough,1,209,
2021-03-14,Group 1,Northland,1,116,
2021-03-14,Group 1,Taranaki,1,128,
2021-03-14,Group 1,Waikato,1,127,
2021-03-14,Group 2,Auckland Metro,1,1529,
2021-03-14,Group 2,Auckland Metro,2,13,
2021-03-14,Group 2,Bay of Plenty,1,14,
2021-03-14,Group 2,Canterbury,1,89,
2021-03-14,Group 2,Capital & Coast and Hutt Valley,1,36,
2021-03-14,Group 2,Lakes,1,37,
2021-03-14,Group 2,Nelson Marlborough,1,161,
2021-03-14,Group 2,Other Sites,1,472,
2021-03-14,Group 2,Taranaki,1,128,
2021-03-14,Group 2,Waikato,1,616,
2021-03-21,Group 1,Auckland Metro,1,3426,
2021-03-21,Group 1,Auckland Metro,2,2016,
2021-03-21,Group 1,Bay of Plenty,1,219,
2021-03-21,Group 1,Canterbury,1,243,
2021-03-21,Group 1,Capital & Coast and Hutt Valley,1,51,
2021-03-21,Group 1,Capital & Coast and Hutt Valley,2,116,
2021-03-21,Group 1,Hawke's Bay,1,32,
2021-03-21,Group 1,Lakes,1,130,
2021-03-21,Group 1,Lakes,2,27,
2021-03-21,Group 1,Nelson Marlborough,1,51,
2021-03-21,Group 1,Northland,1,56,
2021-03-21,Group 1,Other Sites,2,8,
2021-03-21,Group 1,South Canterbury,1,65,
2021-03-21,Group 1,Tairawhiti,1,25,
2021-03-21,Group 1,Tairawhiti,2,37,
2021-03-21,Group 1,Waikato,1,110,
2021-03-21,Group 1,Waikato,2,13,
2021-03-21,Group 2,Auckland Metro,1,473,
2021-03-21,Group 2,Auckland Metro,2,1138,
2021-03-21,Group 2,Bay of Plenty,1,13,
2021-03-21,Group 2,Canterbury,1,58,
2021-03-21,Group 2,Canterbury,2,14,
2021-03-21,Group 2,Capital & Coast and Hutt Valley,1,258,
2021-03-21,Group 2,Capital & Coast and Hutt Valley,2,26,
2021-03-21,Group 2,Hawke's Bay,1,34,
2021-03-21,Group 2,Hawke's Bay,2,19,
2021-03-21,Group 2,Lakes,1,52,
2021-03-21,Group 2,Nelson Marlborough,1,822,
2021-03-21,Group 2,Other Sites,1,2827,
2021-03-21,Group 2,South Canterbury,1,167,
2021-03-21,Group 2,Tairawhiti,2,20,
2021-03-21,Group 2,Waikato,1,852,
2021-03-21,Group 2,Waikato,2,24,
2021-03-28,Group 1,Auckland Metro,1,2435,
2021-03-28,Group 1,Auckland Metro,2,2596,
2021-03-28,Group 1,Bay of Plenty,1,114,
2021-03-28,Group 1,Bay of Plenty,2,99,
2021-03-28,Group 1,Canterbury,1,420,
2021-03-28,Group 1,Canterbury,2,679,
2021-03-28,Group 1,Capital & Coast and Hutt Valley,1,306,
2021-03-28,Group 1,Capital & Coast and Hutt Valley,2,155,
2021-03-28,Group 1,Hawke's Bay,1,73,
2021-03-28,Group 1,Hawke's Bay,2,164,
2021-03-28,Group 1,Lakes,1,56,
2021-03-28,Group 1,Lakes,2,172,
2021-03-28,Group 1,MidCentral,1,12,
2021-03-28,Group 1,Nelson Marlborough,1,51,
2021-03-28,Group 1,Nelson Marlborough,2,250,
2021-03-28,Group 1,Northland,1,97,
2021-03-28,Group 1,Northland,2,148,
2021-03-28,Group 1,Other Sites,2,254,
2021-03-28,Group 1,South Canterbury,2,106,
2021-03-28,Group 1,Southern,1,426,
2021-03-28,Group 1,Southern,2,358,
2021-03-28,Group 1,Tairawhiti,1,18,
2021-03-28,Group 1,Tairawhiti,2,40,
2021-03-28,Group 1,Taranaki,1,100,
2021-03-28,Group 1,Taranaki,2,61,
2021-03-28,Group 1,Waikato,1,142,
2021-03-28,Group 1,Waikato,2,180,
2021-03-28,Group 2,Auckland Metro,1,1024,
2021-03-28,Group 2,Auckland Metro,2,1841,
2021-03-28,Group 2,Bay of Plenty,1,82,
