Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-07-18,Lakes,1,2962,
2021-07-18,Lakes,2,1218,
2021-07-18,MidCentral,1,3729,
2021-07-18,MidCentral,2,4569,
2021-07-18,Nelson Marlborough,1,1881,
2021-07-18,Nelson Marlborough,2,2167,
2021-07-18,Northland,1,2821,
2021-07-18,Northland,2,2712,
2021-07-18,Other Sites,1,828,
2021-07-18,Other Sites,2,721,
2021-07-18,South Canterbury,1,1568,
2021-07-18,South Canterbury,2,443,
2021-07-18,Southern,1,1405,
2021-07-18,Southern,2,3393,
2021-07-18,Tairawhiti,1,631,
2021-07-18,Tairawhiti,2,522,
2021-07-18,Taranaki,1,1338,
2021-07-18,Taranaki,2,885,
2021-07-18,Waikato,1,5723,
2021-07-18,Waikato,2,2849,
2021-07-18,Wairarapa,1,1136,
2021-07-18,Wairarapa,2,1218,
2021-07-18,Waitemata,1,11899,
2021-07-18,Waitemata,2,7521,
2021-07-18,West Coast,1,839,
2021-07-18,West Coast,2,518,
2021-07-18,Whanganui,1,1013,
2021-07-18,Whanganui,2,208,
2021-07-25,Auckland,1,3425,
2021-07-25,Auckland,2,2532,
2021-07-25,Bay of Plenty,1,1087,
2021-07-25,Bay of Plenty,2,1182,
2021-07-25,Canterbury,1,3797,
2021-07-25,Canterbury,2,1698,
2021-07-25,Capital and Coast,1,1586,
2021-07-25,Capital and Coast,2,502,
2021-07-25,Counties Manukau,1,4340,
2021-07-25,Counties Manukau,2,3243,
2021-07-25,Hawke's Bay,1,523,
2021-07-25,Hawke's Bay,2,541,
2021-07-25,Hutt Valley,1,517,
2021-07-25,Hutt Valley,2,330,
2021-07-25,Lakes,1,696,
2021-07-25,Lakes,2,437,
2021-07-25,MidCentral,1,1635,
2021-07-25,MidCentral,2,1767,
2021-07-25,Nelson Marlborough,1,1109,
2021-07-25,Nelson Marlborough,2,867,
2021-07-25,Northland,1,1137,
2021-07-25,Northland,2,653,
2021-07-25,Other Sites,1,27,
2021-07-25,Other Sites,2,397,
2021-07-25,South Canterbury,1,768,
2021-07-25,South Canterbury,2,214,
2021-07-25,Southern,1,2203,
2021-07-25,Southern,2,1672,
2021-07-25,Tairawhiti,1,241,
2021-07-25,Tairawhiti,2,310,
2021-07-25,Taranaki,1,915,
2021-07-25,Taranaki,2,282,
2021-07-25,Waikato,1,2288,
2021-07-25,Waikato,2,1026,
2021-07-25,Wairarapa,1,478,
2021-07-25,Wairarapa,2,452,
2021-07-25,Waitemata,1,4310,
2021-07-25,Waitemata,2,2448,
2021-07-25,West Coast,1,54,
2021-07-25,West Coast,2,196,
2021-07-25,Whanganui,1,592,
2021-07-25,Whanganui,2,151,
