Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-04-11,Lakes,1,669,
2021-04-11,Lakes,2,163,
2021-04-11,MidCentral,1,176,
2021-04-11,Nelson Marlborough,1,2120,
2021-04-11,Nelson Marlborough,2,772,
2021-04-11,Northland,1,1635,
2021-04-11,Northland,2,65,
2021-04-11,Other Sites,1,433,
2021-04-11,Other Sites,2,2137,
2021-04-11,South Canterbury,1,346,
2021-04-11,South Canterbury,2,201,
2021-04-11,Southern,1,2788,
2021-04-11,Southern,2,10,
2021-04-11,Taranaki,1,180,
2021-04-11,Taranaki,2,150,
2021-04-11,Waikato,1,1172,
2021-04-11,Waikato,2,759,
2021-04-11,Wairarapa,1,114,
2021-04-11,Waitemata,1,2283,
2021-04-11,Waitemata,2,5,
2021-04-11,West Coast,1,34,
2021-04-11,Whanganui,1,180,
2021-04-18,Auckland,1,4713,
2021-04-18,Auckland,2,853,
2021-04-18,Bay of Plenty,1,974,
2021-04-18,Bay of Plenty,2,314,
2021-04-18,Canterbury,1,5526,
2021-04-18,Canterbury,2,546,
2021-04-18,Capital and Coast,1,2881,
2021-04-18,Capital and Coast,2,443,
2021-04-18,Counties Manukau,1,5930,
2021-04-18,Counties Manukau,2,2560,
2021-04-18,Hawke's Bay,1,937,
2021-04-18,Hawke's Bay,2,317,
2021-04-18,Hutt Valley,1,848,
2021-04-18,Hutt Valley,2,618,
2021-04-18,Lakes,1,743,
2021-04-18,Lakes,2,158,
2021-04-18,MidCentral,1,349,
2021-04-18,MidCentral,2,18,
2021-04-18,Nelson Marlborough,1,1890,
2021-04-18,Nelson Marlborough,2,530,
2021-04-18,Northland,1,1616,
2021-04-18,Northland,2,113,
2021-04-18,Other Sites,1,240,
2021-04-18,Other Sites,2,2870,
2021-04-18,South Canterbury,1,637,
2021-04-18,South Canterbury,2,44,
2021-04-18,Southern,1,4886,
2021-04-18,Southern,2,461,
2021-04-18,Tairawhiti,1,682,
2021-04-18,Tairawhiti,2,88,
2021-04-18,Taranaki,1,281,
2021-04-18,Taranaki,2,137,
2021-04-18,Waikato,1,2052,
2021-04-18,Waikato,2,917,
2021-04-18,Wairarapa,1,476,
2021-04-18,Waitemata,1,2311,
2021-04-18,Waitemata,2,64,
2021-04-18,West Coast,1,127,
2021-04-18,Whanganui,1,509,
2021-04-25,Auckland,1,3819,
2021-04-25,Auckland,2,2528,
2021-04-25,Bay of Plenty,1,1617,
2021-04-25,Bay of Plenty,2,440,
2021-04-25,Canterbury,1,6656,
2021-04-25,Canterbury,2,476,
2021-04-25,Capital and Coast,1,1439,
2021-04-25,Capital and Coast,2,2164,
2021-04-25,Counties Manukau,1,4785,
2021-04-25,Counties Manukau,2,3276,
2021-04-25,Hawke's Bay,1,1346,
2021-04-25,Hawke's Bay,2,117,
2021-04-25,Hutt Valley,1,749,
2021-04-25,Hutt Valley,2,728,
2021-04-25,Lakes,1,1496,
2021-04-25,Lakes,2,117,
2021-04-25,MidCentral,1,907,
2021-04-25,MidCentral,2,89,
2021-04-25,Nelson Marlborough,1,2200,
2021-04-25,Nelson Marlborough,2,1624,
2021-04-25,Northland,1,1483,
2021-04-25,Northland,2,260,
2021-04-25,Other Sites,1,505,
2021-04-25,Other Sites,2,1671,
2021-04-25,South Canterbury,1,735,
2021-04-25,South Canterbury,2,455,
2021-04-25,Southern,1,2635,
2021-04-25,Southern,2,1321,
2021-04-25,Tairawhiti,1,620,
2021-04-25,Tairawhiti,2,8,
2021-04-25,Taranaki,1,222,
2021-04-25,Taranaki,2,228,
2021-04-25,Waikato,1,3342,
2021-04-25,Waikato,2,908,
2021-04-25,Wairarapa,1,506,
2021-04-25,Waitemata,1,1197,
2021-04-25,Waitemata,2,1662,
2021-04-25,West Coast,1,307,
2021-04-25,Whanganui,1,785,
2021-04-25,Whanganui,2,77,
2021-05-02,Auckland,1,4452,
2021-05-02,Auckland,2,3285,
2021-05-02,Bay of Plenty,1,2091,
2021-05-02,Bay of Plenty,2,444,
2021-05-02,Canterbury,1,5456,
2021-05-02,Canterbury,2,477,
2021-05-02,Capital and Coast,1,1548,
2021-05-02,Capital and Coast,2,2843,
2021-05-02,Counties Manukau,1,4671,
2021-05-02,Counties Manukau,2,3977,
2021-05-02,Hawke's Bay,1,1662,
2021-05-02,Hawke's Bay,2,481,
2021-05-02,Hutt Valley,1,760,
2021-05-02,Hutt Valley,2,660,
2021-05-02,Lakes,1,1043,
2021-05-02,Lakes,2,607,
2021-05-02,MidCentral,1,1101,
2021-05-02,MidCentral,2,144,
2021-05-02,Nelson Marlborough,1,1898,
2021-05-02,Nelson Marlborough,2,1541,
2021-05-02,Northland,1,2787,
2021-05-02,Northland,2,968,
2021-05-02,Other Sites,1,313,
2021-05-02,Other Sites,2,700,
2021-05-02,South Canterbury,1,626,
2021-05-02,South Canterbury,2,333,
2021-05-02,Southern,1,1527,
2021-05-02,Southern,2,1627,
2021-05-02,Tairawhiti,1,222,
2021-05-02,Tairawhiti,2,7,
2021-05-02,Taranaki,1,322,
2021-05-02,Taranaki,2,278,
2021-05-02,Waikato,1,3433,
2021-05-02,Waikato,2,870,
2021-05-02,Wairarapa,1,536,
2021-05-02,Wairarapa,2,80,
2021-05-02,Waitemata,1,981,
2021-05-02,Waitemata,2,2122,
2021-05-02,West Coast,1,372,
2021-05-02,West Coast,2,26,
2021-05-02,Whanganui,1,704,
2021-05-02,Whanganui,2,138,
2021-05-09,Auckland,1,6101,
2021-05-09,Auckland,2,4624,
2021-05-09,Bay of Plenty,1,3964,
2021-05-09,Bay of Plenty,2,750,
2021-05-09,Canterbury,1,4735,
2021-05-09,Canterbury,2,2350,
2021-05-09,Capital and Coast,1,2339,
2021-05-09,Capital and Coast,2,3212,
2021-05-09,Counties Manukau,1,7101,
2021-05-09,Counties Manukau,2,5061,
2021-05-09,Hawke's Bay,1,2229,
2021-05-09,Hawke's Bay,2,820,
2021-05-09,Hutt Valley,1,1996,
2021-05-09,Hutt Valley,2,1052,
2021-05-09,Lakes,1,1468,
2021-05-09,Lakes,2,652,
2021-05-09,MidCentral,1,1953,
2021-05-09,MidCentral,2,319,
2021-05-09,Nelson Marlborough,1,2348,
2021-05-09,Nelson Marlborough,2,1926,
2021-05-09,Northland,1,2275,
2021-05-09,Northland,2,1357,
2021-05-09,Other Sites,1,2604,
2021-05-09,Other Sites,2,221,
2021-05-09,South Canterbury,1,868,
2021-05-09,South Canterbury,2,623,
2021-05-09,Southern,1,1703,
2021-05-09,Southern,2,3360,
2021-05-09,Tairawhiti,1,120,
2021-05-09,Tairawhiti,2,583,
2021-05-09,Taranaki,1,586,
2021-05-09,Taranaki,2,293,
2021-05-09,Waikato,1,3645,
2021-05-09,Waikato,2,1627,
2021-05-09,Wairarapa,1,511,
2021-05-09,Wairarapa,2,279,
2021-05-09,Waitemata,1,1239,
2021-05-09,Waitemata,2,2687,
2021-05-09,West Coast,1,448,
2021-05-09,West Coast,2,107,
2021-05-09,Whanganui,1,984,
2021-05-09,Whanganui,2,449,
2021-05-16,Auckland,1,6546,
2021-05-16,Auckland,2,4140,
2021-05-16,Bay of Plenty,1,2971,
2021-05-16,Bay of Plenty,2,1621,
2021-05-16,Canterbury,1,4534,
2021-05-16,Canterbury,2,4383,
2021-05-16,Capital and Coast,1,3133,
2021-05-16,Capital and Coast,2,1609,
2021-05-16,Counties Manukau,1,7812,
2021-05-16,Counties Manukau,2,4335,
2021-05-16,Hawke's Bay,1,1565,
2021-05-16,Hawke's Bay,2,1218,
2021-05-16,Hutt Valley,1,2402,
2021-05-16,Hutt Valley,2,703,
2021-05-16,Lakes,1,1155,
2021-05-16,Lakes,2,1326,
2021-05-16,MidCentral,1,2262,
2021-05-16,MidCentral,2,822,
2021-05-16,Nelson Marlborough,1,2251,
2021-05-16,Nelson Marlborough,2,2347,
2021-05-16,Northland,1,2114,
2021-05-16,Northland,2,1381,
2021-05-16,Other Sites,1,2320,
2021-05-16,Other Sites,2,204,
2021-05-16,South Canterbury,1,428,
2021-05-16,South Canterbury,2,718,
2021-05-16,Southern,1,2240,
2021-05-16,Southern,2,3723,
2021-05-16,Tairawhiti,1,298,
2021-05-16,Tairawhiti,2,623,
2021-05-16,Taranaki,1,631,
2021-05-16,Taranaki,2,183,
2021-05-16,Waikato,1,3327,
2021-05-16,Waikato,2,2631,
2021-05-16,Wairarapa,1,589,
2021-05-16,Wairarapa,2,528,
2021-05-16,Waitemata,1,2230,
2021-05-16,Waitemata,2,1095,
2021-05-16,West Coast,1,601,
2021-05-16,West Coast,2,268,
2021-05-16,Whanganui,1,753,
2021-05-16,Whanganui,2,615,
2021-05-23,Auckland,1,6792,
2021-05-23,Auckland,2,4291,
2021-05-23,Bay of Plenty,1,3632,
2021-05-23,Bay of Plenty,2,1643,
